Номер карты,Количество билетов
14,1
123,7
888,2
36,7
35,4
555,13
400,5
228,5
64,1
2504,1
600,23
800,8
5,45
119,1
510,1
968,4
967,1
103,3
2,1
94,1
95,2
87,7
222,7
218,85
190,2
198,7
184,4
193,12
237,15
2979,2
692,10
283,1
319,1
315,8
336,8
1027,20
1031,1
1009,1
1033,3
403,97
379,1
825,1
813,1
373,3
433,11
1052,3
1062,4
368,2
862,2
983,1
986,1
1076,6
690,1
817,2
826,1
897,79
785,144
734,42
694,11
211,8
685,1
683,2
706,8
705,2
2132,69
505,1
606,1
670,2
464,3
460,2
3979,1
467,3
716,3
477,11
513,1
1111,2
1992,2
1414,1
1164,27
1337,12
493,13
1253,3
1217,9
1270,70
1390,27
1380,9
1370,1
1243,3
1343,1
1382,2
1452,5
1451,12
1322,119
1530,3
1522,256
1674,120
1749,6
1720,1
2258,1
1734,1
1785,5
1781,2
1860,1
1844,1
1871,10
2212,1
1889,1
1902,48
1909,69
1959,2
2002,24
2017,1
2023,1
2026,2
2052,2
2032,47
2056,1
2093,1
2101,1
2137,121
2140,2
2151,3
2153,6
2113,1
2163,4
2168,1
2226,1
2232,79
2241,3
2255,1
2257,3
2725,21
2281,46
2288,23
2293,2
2295,2
2298,1
2304,26
2341,3
2346,2
2569,1
2578,1
2552,41
2580,16
2596,1
2598,2
2554,2
2518,8
3066,13
2311,2
2458,2
2459,2
2470,3
2489,86
2424,8
2425,88
2433,1
2383,11
2969,1
2391,2
2405,5
2398,4
2609,1
2626,4
2622,13
2640,2
2628,1
2911,141
2920,2
2884,3
2885,1
2777,13
2652,1
2655,4
2935,2
2930,4
2956,2
2659,27
2661,4
2662,1
2670,2
2674,1
2685,2
2686,1
2966,1
2951,1
2693,1
2943,1
2948,1
2954,28
2978,2
2732,6
2736,2
2974,1
2856,1
2860,4
2748,1
2769,1
2774,10
3088,1
2865,1
2755,1
2988,1
2989,1
2991,8
2852,11
3075,9
3074,27
3078,3
3080,1
2783,1
2845,4
2846,1
3030,1
3003,39
2840,3
2843,15
2720,14
2789,1
3031,23
3033,16
3035,2
2739,2
3009,1
2788,2
3062,18
3071,27
3100,13
3104,1
3105,3
3132,1
3123,2
3115,1
3120,15
3117,2
3531,1
3525,2
3521,1
3510,1
3511,23
3514,1
3490,1
3489,10
3499,2
3474,1
3481,1
3460,2
3464,1
3476,2
3497,2
3504,1
3506,1
3431,1
3445,68
3449,2
3441,5
3439,37
3436,2
3438,5
3446,1
3163,12
3158,2
3151,1
3141,4
3142,2
3139,4
3165,2
3172,4
3182,1
3183,1
3192,14
3198,8
3208,4
3225,3
3221,2
3266,9
3240,7
3324,2
3319,10
3300,1
3316,1
3312,15
3302,77
3295,1
3286,1
3276,2
3274,6
3272,4
3333,42
3335,3
3355,13
3371,1
3341,1
3421,4
3415,2
3409,3
3405,2
3384,2
3386,2
3330,3
3346,2
3375,1
3551,19
3550,1
3545,2
3800,5
3569,1
3567,1
3560,4
3610,4
3609,1
3564,2
3601,1
3578,1
3596,1
3588,1
3638,2
3633,1
3636,11
3630,3
3624,2
3619,7
3671,2
3669,1
3657,1
3646,24
3617,1
3614,1
3647,8
3717,2
3705,1
3703,1
3696,2
3714,2
3695,4
3724,1
3932,1
3935,61
3695,1
3963,2
3962,2
3961,1
3973,3
3737,1
3746,3
3731,2
3687,5
3945,1
3999,2
3900,2
3758,4
3743,1
3776,6
3782,4
3953,1
3772,1
3767,2
3769,1
3761,1
3768,1
3762,1
3784,1
3785,6
3766,1
3844,1
3846,2
3851,5
3882,1
3880,3
3881,1
3883,28
3884,1
3919,4
3917,1
3828,1
3834,1
3830,2
3833,1
3832,1
3831,1
3912,3
3913,1
3914,2
3915,1
3888,1
3898,2
3839,1
3899,1
3896,6
3909,1
3910,1
3906,1
3905,1
3840,2
3890,1
2889,1
3922,1
3923,3
3836,10
3904,1
3902,1
3903,1
3891,3
3848,3
3850,3
3885,2
3886,2
3887,3
3892,1
3893,2
3911,3
3920,1
3835,1
